time,insertion_speed,insertion,rotation_deg,tip_x,tip_y,tip_z,tip_qx,tip_qy,tip_qz,tip_qw,tip_wall_force_x,tip_wall_force_y,tip_wall_force_z,tip_wall_force_modulus,tip_target_distance
2.37,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.376,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.382,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.388,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.394,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.4,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.406,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.412,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.418,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.424,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.43,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.436,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.442,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.448,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.454,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.46,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.466,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.472,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.478,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.484,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.49,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.496,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.502,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
2.508,0.001,0,0,0,0,0,0,0.0438170419,-0.568404404,0.821581706,-0,-0,-0,0,0.0840119039
